number,air_pressure_9am,air_temp_9am,avg_wind_direction_9am,avg_wind_speed_9am,max_wind_direction_9am,max_wind_speed_9am,rain_accumulation_9am,rain_duration_9am,relative_humidity_9am,relative_humidity_3pm
0,918.0600000000087,74.82200000000041,271.1,2.080354199999768,295.39999999999986,2.863283199999908,0.0,0.0,42.42000000000046,36.160000000000494
1,917.3476881177097,71.40384263106537,101.93517935618371,2.4430092157340217,140.47154847112498,3.5333236016106238,0.0,0.0,24.328697291802207,19.4265967985621
2,923.0400000000084,60.637999999998776,51.000000000000036,17.067852199999727,63.6999999999999,22.100967200000003,0.0,20.0,8.900000000000047,14.460000000000045
3,920.5027511759195,70.13889486830053,198.83213271746368,4.337363056162703,211.20334124325618,5.190045360219378,0.0,0.0,12.189101868764444,12.742547353761848
4,921.1600000000036,44.29400000000284,277.8,1.8566601999998955,136.49999999999991,2.863283199999954,8.899999999998613,14730.0,92.41000000000044,76.74000000000046
5,915.300000000006,78.40400000000422,182.8,9.93201359999979,188.99999999999986,10.983375399999995,0.02000000000043656,170.0,35.130000000000265,33.930000000000256
6,915.5988675132801,70.04330431686239,177.87540718659943,3.7455865377244795,186.60669587586753,4.589632428699432,0.0,0.0,10.657421657822635,21.385656725200974
7,918.0700000000023,51.710000000002346,242.4,2.527742199999939,271.5999999999999,3.6462121999999924,0.0,0.0,80.47000000000041,74.92000000000041
8,920.080000000006,80.58200000000384,40.7,4.518618799999764,62.99999999999986,5.883152199999977,0.0,0.0,29.58000000000045,24.030000000000427
9,915.0100000000116,47.4979999999998,163.10000000000005,4.943637399999545,195.89999999999992,6.576603599999951,0.0,0.0,88.6000000000012,68.0500000000012
10,919.650000000002,77.0360000000015,70.6,3.825167399999994,85.5,4.764682199999966,0.0,0.0,22.070000000000228,32.13000000000024
11,915.6400000000099,45.71599999999757,241.60000000000005,5.860782799999633,265.7999999999999,8.030614600000042,0.5499999999999545,1770.0,90.56000000000022,79.0900000000002
12,917.3900000000112,49.78399999999978,204.10000000000005,1.2750557999995473,211.79999999999993,2.01324599999997,0.0,0.0,73.1500000000012,58.43000000000119
13,920.8200000000083,62.43799999999798,213.60000000000005,2.6172197999996376,165.6999999999999,3.310671200000037,0.0,0.0,43.64000000000018,27.990000000000173
14,911.0000000000076,86.43199999999833,202.90000000000003,1.2079475999998548,162.8999999999999,1.677704999999817,0.0,0.0,15.189999999999962,24.369999999999948
15,922.3831311993919,70.86526349026626,36.174174777424966,1.8472780842202248,58.42863248830409,2.529142073698898,0.0,0.0,12.110889335294598,14.801705962979918
16,917.8900000000048,,169.2,2.1922011999998263,196.7999999999999,2.9303914000000866,0.0,0.0,48.989999999999846,51.18999999999985
